"index","covariate_name"
294,"tcb_1_PC2_m2"
295,"tcb_1_PC3_m2"
296,"tcb_2_PC1_m2"
297,"tcb_2_PC2_m2"
298,"tcb_2_PC3_m2"
299,"tcb_3_PC1_m2"
300,"tcb_3_PC2_m2"
301,"tcb_3_PC3_m2"
302,"tcw_1_PC1_m2"
303,"tcw_1_PC2_m2"
304,"tcw_1_PC3_m2"
305,"tcw_2_PC1_m2"
306,"tcw_2_PC2_m2"
307,"tcw_2_PC3_m2"
308,"tcw_3_PC1_m2"
309,"tcw_3_PC2_m2"
310,"tcw_3_PC3_m2"
311,"Class02_Evergreen_Broadleaf_Forest_m3"
312,"Class05_Mixed_Forest_m3"
313,"Class06_Closed_Shrublands_m3"
314,"Class07_Open_Shrublands_m3"
315,"Class08_Woody_Savannas_m3"
316,"Class09_Savannas_m3"
317,"Class10_Grasslands_m3"
318,"Class11_Permanent_Wetlands_m3"
319,"Class16_Barren_Or_Sparsely_Populated_m3"
320,"Class12_Croplands.5km.Percentage_m3"
321,"Class14_Cropland_Natural_Vegetation_Mosaic.5km.Percentage_m3"
322,"ITN.use.yearavg.new.adj_m3"
323,"Global_Hybrid_Pop_v2_5km_sum_UNAdj_m3"
324,"och_IRS_m3"
325,"pyr_IRS_m3"
326,"tday_1_PC1_m3"
327,"tday_1_PC2_m3"
328,"tday_1_PC3_m3"
329,"tday_2_PC1_m3"
330,"tday_2_PC2_m3"
331,"tday_2_PC3_m3"
332,"tday_3_PC1_m3"
333,"tday_3_PC2_m3"
334,"tday_3_PC3_m3"
335,"tnight_1_PC1_m3"
336,"tnight_1_PC2_m3"
337,"tnight_1_PC3_m3"
338,"tnight_2_PC1_m3"
339,"tnight_2_PC2_m3"
340,"tnight_2_PC3_m3"
341,"tnight_3_PC1_m3"
342,"tnight_3_PC2_m3"
343,"tnight_3_PC3_m3"
344,"tdi_1_PC1_m3"
345,"tdi_1_PC2_m3"
346,"tdi_1_PC3_m3"
347,"tdi_2_PC1_m3"
348,"tdi_2_PC2_m3"
349,"tdi_2_PC3_m3"
350,"tdi_3_PC1_m3"
351,"tdi_3_PC2_m3"
352,"tdi_3_PC3_m3"
353,"evi_1_PC1_m3"
354,"evi_1_PC2_m3"
355,"evi_1_PC3_m3"
356,"evi_2_PC1_m3"
357,"evi_2_PC2_m3"
358,"evi_2_PC3_m3"
359,"evi_3_PC1_m3"
360,"evi_3_PC2_m3"
361,"evi_3_PC3_m3"
362,"rain_1_PC1_m3"
363,"rain_1_PC2_m3"
364,"rain_1_PC3_m3"
365,"ri_1_PC1_m3"
366,"ri_1_PC2_m3"
367,"ri_1_PC3_m3"
368,"tcb_1_PC1_m3"
